**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.25

[1 1335369500350887113 1335369500350887113 2] 635510
[1 1608948501392221840 1608948501392221840 1] 1728595
[1 5177818208114085241 5177818208114085241 2] 5054312
[1 60471825801899659 60471825801899659 9] 834083
[1 37000534383455631 37000534383455631 12] 5314029
[1 7803753030518273401 7803753030518273401 3] 5970847
[1 8104451448818176865 8104451448818176865 9] 6590539
[1 8104451448818176865 8104451448818176865 3] 559
[1 7106295925757861572 7106295925757861572 1] 6661994
[1 8104451448818176865 8104451448818176865 5] 632
[1 3021584220979256730 3021584220979256730 4] 4858507
[1 5258959378889404534 5258959378889404534 3] 4807612
[1 4173032647297130033 4173032647297130033 6] 4046060
[1 2962813208079357693 2962813208079357693 4] 2456472
[1 5618834902846399515 5618834902846399515 4] 718425
[1 8094011088207712613 8094011088207712613 5] 4401521
[1 4958165866846552497 4958165866846552497 3] 6034431
[1 3493812276559608261 3493812276559608261 1] 10609886
[1 1322252853927517871 1322252853927517871 4] 2350968
[1 7245660931648353422 7245660931648353422 4] 4213351
[1 5618834902846399515 5618834902846399515 12] 564
[1 7728666063074132048 7728666063074132048 4] 3683022
[1 5412109951180343267 5412109951180343267 8] 2853016
[1 60471825801899659 60471825801899659 4] 1048
[1 584020274336891132 584020274336891132 5] 6285728
[1 7803753030518273401 7803753030518273401 1] 788
[1 8104451448818176865 8104451448818176865 9] 626
[1 7341520517183750168 7341520517183750168 15] 6448068
[1 1797403150532236909 1797403150532236909 9] 2977842
[1 2313948965543090559 2313948965543090559 8] 6630870
[1 3400052239333568512 3400052239333568512 6] 2496162
[1 4867268416495133867 4867268416495133867 7] 7055518
[1 7341520517183750168 7341520517183750168 5] 10269228
[1 6894593078187142944 6894593078187142944 4] 3090004
[1 5447833490994371743 5447833490994371743 3] 8399819
[1 2721500822832558103 2721500822832558103 4] 3968888
[1 5177818208114085241 5177818208114085241 16] 615
[1 2802821781736258657 2802821781736258657 5] 5401113
[1 8608643741839602142 8608643741839602142 9] 3726307
[1 1026064423824749505 1026064423824749505 4] 5361057
[1 4941794663080118969 4941794663080118969 5] 2489710
[1 2905926692694372953 2905926692694372953 6] 4982358
[1 8094011088207712613 8094011088207712613 8] 634
[1 6130119897100878926 6130119897100878926 9] 4389497
[1 3830880201497503317 3830880201497503317 6] 4544107
[1 3344121448843780733 3344121448843780733 3] 7396182
[1 7511834424677954020 7511834424677954020 3] 9306486
[1 1675053098270206009 1675053098270206009 5] 485756
[1 4694417007418070850 4694417007418070850 5] 2989630
