**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.17

[1 2534080848504833637 2534080848504833637 1] 13243361
[1 734592446513182065 734592446513182065 13] 12677382
[1 2362446847867864768 2362446847867864768 2] 15236992
[1 144573006434803742 144573006434803742 4] 16389252
[1 2534080848504833637 2534080848504833637 16] 2821
[1 2793302479550237922 2793302479550237922 1] 19262383
[1 2362446847867864768 2362446847867864768 1] 4979
[1 7579227685816234595 7579227685816234595 16] 25027049
[1 4402948556259363451 4402948556259363451 8] 26339947
[1 1511323233739817806 1511323233739817806 1] 30467555
[1 734592446513182065 734592446513182065 11] 30955153
[1 775798024421069700 775798024421069700 1] 29694451
[1 734592446513182065 734592446513182065 5] 37093862
[1 4325101186680591916 4325101186680591916 6] 42145759
[1 2362446847867864768 2362446847867864768 4] 44248059
[1 7413609510133063015 7413609510133063015 1] 42794335
[1 4539981729959298355 4539981729959298355 3] 46228771
[1 194901708358462687 194901708358462687 2] 46532692
[1 2362446847867864768 2362446847867864768 10] 4962
[1 65281072076987413 65281072076987413 5] 59805291
[1 2362446847867864768 2362446847867864768 1] 58981688
[1 8813438948783652661 8813438948783652661 3] 60851805
[1 6481588027008507250 6481588027008507250 4] 57826165
[1 2423815736635418286 2423815736635418286 7] 61231981
[1 6427445919344566720 6427445919344566720 2] 70670423
[1 5546712864438187884 5546712864438187884 10] 69588918
[1 1504946346371376639 1504946346371376639 11] 72158660
[1 3826047074646187463 3826047074646187463 1] 76083175
[1 2423815736635418286 2423815736635418286 3] 75916114
[1 3118897387058355560 3118897387058355560 13] 80595212
[1 9063614686281648555 9063614686281648555 5] 85865815
[1 7457640055946008668 7457640055946008668 5] 88860669
[1 6224901217148171972 6224901217148171972 6] 90907625
[1 2404287123253513670 2404287123253513670 6] 91396761
[1 7120628415427462898 7120628415427462898 4] 98564926
[1 6184224123268371659 6184224123268371659 16] 98943392
[1 4881638827078685502 4881638827078685502 14] 101776520
[1 65281072076987413 65281072076987413 2] 104775231
[1 7056397236067230492 7056397236067230492 16] 106421141
[1 5082294164254468326 5082294164254468326 8] 109343494
[1 4475106793237928676 4475106793237928676 4] 112967022
[1 3604631005327317358 3604631005327317358 2] 115806428
[1 3152585022778420104 3152585022778420104 16] 116784290
[1 8813438948783652661 8813438948783652661 1] 120040204
[1 5853151758892767402 5853151758892767402 9] 123936411
[1 2024667237626825566 2024667237626825566 4] 124973996
[1 1755710550109762647 1755710550109762647 3] 123870623
[1 543933806449348227 543933806449348227 16] 128832716
[1 6224901217148171972 6224901217148171972 3] 133780316
[1 6481617086072149703 6481617086072149703 6] 131570558
[1 194901708358462687 194901708358462687 8] 133548709
[1 8469120784247382523 8469120784247382523 16] 131823011
[1 1867263731343969693 1867263731343969693 2] 134486062
[1 3826047074646187463 3826047074646187463 1] 139256163
[1 8412094805934371413 8412094805934371413 7] 140077760
[1 4238356272867122178 4238356272867122178 1] 139795717
[1 3990301012644747093 3990301012644747093 3] 143913631
[1 3322115445419574041 3322115445419574041 3] 142396978
[1 4568262719152854072 4568262719152854072 1] 148247193
[1 6677788738934613478 6677788738934613478 2] 147278453
[1 2034601758941119156 2034601758941119156 1] 147118547
[1 188298230885325765 188298230885325765 2] 153099217
[1 5546712864438187884 5546712864438187884 6] 154873125
[1 2041583049155452133 2041583049155452133 3] 153465832
[1 6488079815406579091 6488079815406579091 13] 156712061
[1 3274168525665820313 3274168525665820313 4] 155359603
[1 6149652210555691411 6149652210555691411 3] 153317395
[1 7192606909766198139 7192606909766198139 11] 156817642
[1 4387800982861812278 4387800982861812278 1] 157575234
[1 299017200798257185 299017200798257185 3] 160122610
[1 8959350751557039550 8959350751557039550 4] 164270554
[1 1691493319748746388 1691493319748746388 6] 167483528
[1 6459227495295035902 6459227495295035902 15] 168470248
[1 830539103387696557 830539103387696557 1] 171209361
[1 6423505784789735895 6423505784789735895 16] 174862129
[1 7486420996130192751 7486420996130192751 2] 177206471
[1 6143266650014896614 6143266650014896614 12] 179287519
[1 4783208449973014378 4783208449973014378 1] 182603608
[1 9003525225793406809 9003525225793406809 1] 183370940
[1 4889044544488955645 4889044544488955645 6] 190679612
[1 1368790009816293228 1368790009816293228 1] 191031476
[1 188298230885325765 188298230885325765 4] 192214904
[1 4063616305869320469 4063616305869320469 3] 196885074
[1 5014386525507742238 5014386525507742238 2] 197048333
[1 1754341443584370596 1754341443584370596 9] 199709974
[1 1202761757499872340 1202761757499872340 5] 200479151
[1 1643096707707766227 1643096707707766227 4] 205864871
[1 2016187078435865310 2016187078435865310 3] 203603712
[1 4571494471588410399 4571494471588410399 3] 208092784
[1 1623711085914951513 1623711085914951513 1] 209729794
[1 2899810306460920575 2899810306460920575 4] 214001773
[1 5117259440023367980 5117259440023367980 7] 214103210
[1 6522882028041492777 6522882028041492777 3] 213660007
[1 7648070865145929565 7648070865145929565 13] 216507122
[1 2041583049155452133 2041583049155452133 6] 215716668
[1 4625117666449960784 4625117666449960784 1] 219306413
[1 973789200653990917 973789200653990917 7] 216455315
[1 7332313593179142680 7332313593179142680 7] 216690908
[1 1719904128257064834 1719904128257064834 5] 219276862
[1 437485833847434610 437485833847434610 3] 219139779

Prio stats: 20 10 15 11 6 8 5 3 2 2 3 1 4 1 1 8
Results: 100.00 660747948
**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.17

[1 734592446513182065 734592446513182065 13] 14721145
[1 2534080848504833637 2534080848504833637 1] 15661154
[1 2534080848504833637 2534080848504833637 16] 4925
[1 2362446847867864768 2362446847867864768 2] 17768880
[1 144573006434803742 144573006434803742 4] 18928753
[1 2793302479550237922 2793302479550237922 1] 21653932
[1 2362446847867864768 2362446847867864768 1] 12670
[1 7579227685816234595 7579227685816234595 16] 27591822
[1 4402948556259363451 4402948556259363451 8] 28657216
[1 1511323233739817806 1511323233739817806 1] 32119245
[1 734592446513182065 734592446513182065 11] 32306141
[1 775798024421069700 775798024421069700 1] 30940006
[1 734592446513182065 734592446513182065 5] 38206176
[1 4325101186680591916 4325101186680591916 6] 43140427
[1 2362446847867864768 2362446847867864768 4] 45028312
[1 7413609510133063015 7413609510133063015 1] 43599378
[1 4539981729959298355 4539981729959298355 3] 46809151
[1 194901708358462687 194901708358462687 2] 47085864
[1 2362446847867864768 2362446847867864768 10] 5806
[1 65281072076987413 65281072076987413 5] 60427395
[1 2362446847867864768 2362446847867864768 1] 59474530
[1 6481588027008507250 6481588027008507250 4] 58335274
[1 8813438948783652661 8813438948783652661 3] 61540925
[1 2423815736635418286 2423815736635418286 7] 61658854
[1 6427445919344566720 6427445919344566720 2] 71104927
[1 5546712864438187884 5546712864438187884 10] 69354015
[1 1504946346371376639 1504946346371376639 11] 71931272
[1 3826047074646187463 3826047074646187463 1] 75501160
[1 2423815736635418286 2423815736635418286 3] 75201908
[1 3118897387058355560 3118897387058355560 13] 79494366
[1 9063614686281648555 9063614686281648555 5] 85136451
[1 7457640055946008668 7457640055946008668 5] 87772453
[1 6224901217148171972 6224901217148171972 6] 89345312
