**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.10

[1 734592446513182065 734592446513182065 16] 12426433
[1 2534080848504833637 2534080848504833637 2] 13241930
[1 2362446847867864768 2362446847867864768 3] 14990326
[1 144573006434803742 144573006434803742 6] 16039186
[1 2534080848504833637 2534080848504833637 16] 7845
[1 2793302479550237922 2793302479550237922 1] 19014510
[1 2362446847867864768 2362446847867864768 1] 5804
[1 7579227685816234595 7579227685816234595 16] 24740703
[1 4402948556259363451 4402948556259363451 14] 25927745
[1 1511323233739817806 1511323233739817806 1] 29192352
[1 734592446513182065 734592446513182065 16] 29706889
[1 775798024421069700 775798024421069700 2] 27999028
[1 734592446513182065 734592446513182065 8] 35313906
[1 4325101186680591916 4325101186680591916 10] 40357519
[1 2362446847867864768 2362446847867864768 6] 42513358
[1 7413609510133063015 7413609510133063015 1] 40869058
[1 4539981729959298355 4539981729959298355 4] 43888624
[1 194901708358462687 194901708358462687 4] 44244000
[1 2362446847867864768 2362446847867864768 16] 4842
[1 65281072076987413 65281072076987413 8] 57491563
[1 2362446847867864768 2362446847867864768 1] 56317870
[1 6481588027008507250 6481588027008507250 7] 55182551
[1 8813438948783652661 8813438948783652661 6] 58985532
[1 2423815736635418286 2423815736635418286 11] 58543993
[1 6427445919344566720 6427445919344566720 3] 68806648
[1 5546712864438187884 5546712864438187884 16] 67184917
[1 1504946346371376639 1504946346371376639 16] 70166874
[1 3826047074646187463 3826047074646187463 1] 73583564
[1 2423815736635418286 2423815736635418286 6] 74743207
[1 3118897387058355560 3118897387058355560 16] 78850061
[1 9063614686281648555 9063614686281648555 9] 85282625
[1 7457640055946008668 7457640055946008668 8] 88003793
[1 6224901217148171972 6224901217148171972 11] 92252749
[1 2404287123253513670 2404287123253513670 10] 90883166
[1 7120628415427462898 7120628415427462898 6] 97663630
[1 6184224123268371659 6184224123268371659 16] 100403171
[1 65281072076987413 65281072076987413 4] 104110954
[1 4881638827078685502 4881638827078685502 16] 103383418
[1 7056397236067230492 7056397236067230492 16] 105924486
[1 5082294164254468326 5082294164254468326 14] 109151767
[1 4475106793237928676 4475106793237928676 7] 112287058
[1 3604631005327317358 3604631005327317358 3] 115426415
[1 3152585022778420104 3152585022778420104 16] 116651899
[1 8813438948783652661 8813438948783652661 2] 121315107
[1 5853151758892767402 5853151758892767402 16] 123322970
[1 2024667237626825566 2024667237626825566 6] 124030051
[1 1755710550109762647 1755710550109762647 6] 123717907
[1 543933806449348227 543933806449348227 16] 127944948
[1 6481617086072149703 6481617086072149703 10] 130605459
[1 6224901217148171972 6224901217148171972 5] 135164164
[1 194901708358462687 194901708358462687 13] 133412990
[1 8469120784247382523 8469120784247382523 16] 133003857
[1 1867263731343969693 1867263731343969693 4] 133705470
[1 3826047074646187463 3826047074646187463 1] 137891068
[1 8412094805934371413 8412094805934371413 13] 139075808
[1 4238356272867122178 4238356272867122178 1] 138790454
[1 3322115445419574041 3322115445419574041 5] 141343437
[1 3990301012644747093 3990301012644747093 4] 145020091
[1 6677788738934613478 6677788738934613478 3] 145728835
[1 4568262719152854072 4568262719152854072 1] 147585863
[1 2034601758941119156 2034601758941119156 2] 145546597
[1 188298230885325765 188298230885325765 3] 153425408
[1 5546712864438187884 5546712864438187884 10] 154056101
[1 3274168525665820313 3274168525665820313 7] 153688137
[1 6488079815406579091 6488079815406579091 16] 156379566
[1 2041583049155452133 2041583049155452133 4] 153866234
[1 6149652210555691411 6149652210555691411 5] 152985055
[1 7192606909766198139 7192606909766198139 16] 155862363
[1 4387800982861812278 4387800982861812278 2] 156650398
[1 299017200798257185 299017200798257185 5] 159151974
[1 8959350751557039550 8959350751557039550 7] 163514480
[1 1691493319748746388 1691493319748746388 10] 167127845
[1 6459227495295035902 6459227495295035902 16] 167978419
[1 830539103387696557 830539103387696557 2] 171060022
[1 6423505784789735895 6423505784789735895 16] 174463327
[1 6143266650014896614 6143266650014896614 16] 178093389
[1 7486420996130192751 7486420996130192751 4] 176839202
[1 4783208449973014378 4783208449973014378 2] 182635959
[1 9003525225793406809 9003525225793406809 1] 182721713
[1 4889044544488955645 4889044544488955645 10] 190501891
[1 1368790009816293228 1368790009816293228 2] 190002806
