**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 100
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 0.25

[1 734592446513182065 734592446513182065 9] 13240467
[1 2534080848504833637 2534080848504833637 1] 14060217
[1 2362446847867864768 2362446847867864768 2] 15658065
[1 144573006434803742 144573006434803742 3] 16880037
[1 2534080848504833637 2534080848504833637 15] 3891
[1 2793302479550237922 2793302479550237922 1] 20156764
[1 2362446847867864768 2362446847867864768 1] 3914
[1 7579227685816234595 7579227685816234595 14] 26489373
[1 4402948556259363451 4402948556259363451 6] 27630259
[1 1511323233739817806 1511323233739817806 1] 31213092
[1 734592446513182065 734592446513182065 8] 31682763
[1 775798024421069700 775798024421069700 1] 30091598
[1 734592446513182065 734592446513182065 4] 37746773
[1 4325101186680591916 4325101186680591916 4] 42547770
[1 2362446847867864768 2362446847867864768 3] 44637255
[1 7413609510133063015 7413609510133063015 1] 43099906
[1 4539981729959298355 4539981729959298355 2] 46278692
[1 194901708358462687 194901708358462687 2] 46847660
[1 2362446847867864768 2362446847867864768 7] 4862
[1 65281072076987413 65281072076987413 3] 60107015
[1 8813438948783652661 8813438948783652661 3] 61196065
[1 2362446847867864768 2362446847867864768 1] 59366668
[1 6481588027008507250 6481588027008507250 3] 58191244
[1 2423815736635418286 2423815736635418286 5] 61230276
[1 6427445919344566720 6427445919344566720 2] 70653671
[1 5546712864438187884 5546712864438187884 7] 68888744
[1 1504946346371376639 1504946346371376639 8] 71397294
[1 3826047074646187463 3826047074646187463 1] 75244690
[1 2423815736635418286 2423815736635418286 3] 74839410
[1 3118897387058355560 3118897387058355560 9] 79019830
[1 9063614686281648555 9063614686281648555 4] 84698146
[1 7457640055946008668 7457640055946008668 4] 87907360
[1 6224901217148171972 6224901217148171972 5] 89216204
[1 2404287123253513670 2404287123253513670 4] 89547808
[1 7120628415427462898 7120628415427462898 3] 97260372
[1 6184224123268371659 6184224123268371659 16] 98217000
[1 4881638827078685502 4881638827078685502 10] 101654168
[1 65281072076987413 65281072076987413 2] 105379821
[1 7056397236067230492 7056397236067230492 15] 106037824
[1 5082294164254468326 5082294164254468326 6] 109276809
[1 4475106793237928676 4475106793237928676 3] 112678348
[1 3604631005327317358 3604631005327317358 1] 115784805
[1 3152585022778420104 3152585022778420104 14] 117343261
[1 8813438948783652661 8813438948783652661 1] 121617484
[1 5853151758892767402 5853151758892767402 7] 124673066
[1 2024667237626825566 2024667237626825566 3] 125451352
[1 1755710550109762647 1755710550109762647 3] 125017869
[1 543933806449348227 543933806449348227 16] 129636846
