**********************************
DTU - OS Challenge - Client v0.20
**********************************
Total requests: 500
Start: Random
Difficulty: 30000000
Repetition probability (%): 20
Request delay (us): 600000
Priority enabled - lambda: 1.50

[1 2534080848504833637 2534080848504833637 1] 4719090
[1 734592446513182065 734592446513182065 2] 4449964
[1 734592446513182065 734592446513182065 1] 575
[1 144573006434803742 144573006434803742 1] 5537953
[1 2362446847867864768 2362446847867864768 1] 5006550
[1 2362446847867864768 2362446847867864768 1] 974
[1 734592446513182065 734592446513182065 2] 4630810
[1 2793302479550237922 2793302479550237922 1] 7102716
[1 7579227685816234595 7579227685816234595 3] 6526632
[1 775798024421069700 775798024421069700 1] 3332028
[1 4402948556259363451 4402948556259363451 1] 7479275
[1 2362446847867864768 2362446847867864768 1] 523
[1 1511323233739817806 1511323233739817806 1] 10755411
[1 194901708358462687 194901708358462687 1] 6588435
[1 4325101186680591916 4325101186680591916 1] 9183429
[1 4539981729959298355 4539981729959298355 1] 7737993
[1 7413609510133063015 7413609510133063015 1] 7164230
[1 1504946346371376639 1504946346371376639 2] 1472470
[1 2534080848504833637 2534080848504833637 3] 1069
[1 5546712864438187884 5546712864438187884 2] 4504997
[1 3118897387058355560 3118897387058355560 2] 4399732
[1 8813438948783652661 8813438948783652661 1] 12278210
[1 65281072076987413 65281072076987413 1] 12319856
[1 8813438948783652661 8813438948783652661 1] 667
[1 6427445919344566720 6427445919344566720 1] 12171980
[1 2423815736635418286 2423815736635418286 1] 14237187
[1 6184224123268371659 6184224123268371659 5] 5023774
[1 6481588027008507250 6481588027008507250 1] 12859120
[1 4881638827078685502 4881638827078685502 2] 3521041
[1 7056397236067230492 7056397236067230492 3] 4785974
[1 2362446847867864768 2362446847867864768 1] 491
[1 3152585022778420104 3152585022778420104 3] 4135642
[1 194901708358462687 194901708358462687 1] 635
[1 5853151758892767402 5853151758892767402 2] 4182530
[1 543933806449348227 543933806449348227 3] 2858695
[1 3826047074646187463 3826047074646187463 1] 17995501
[1 2423815736635418286 2423815736635418286 1] 17827904
[1 8469120784247382523 8469120784247382523 2] 879330
[1 9063614686281648555 9063614686281648555 1] 18599665
[1 7457640055946008668 7457640055946008668 1] 19544489
[1 5546712864438187884 5546712864438187884 1] 464
[1 6224901217148171972 6224901217148171972 1] 19617984
[1 2404287123253513670 2404287123253513670 1] 18147727
[1 7120628415427462898 7120628415427462898 1] 20417403
[1 6488079815406579091 6488079815406579091 2] 6128375
[1 7192606909766198139 7192606909766198139 2] 3955728
[1 65281072076987413 65281072076987413 1] 23180186
[1 3604631005327317358 3604631005327317358 1] 20346492
[1 5082294164254468326 5082294164254468326 1] 22800536
[1 4475106793237928676 4475106793237928676 1] 21866224
[1 2024667237626825566 2024667237626825566 1] 22278814
[1 6459227495295035902 6459227495295035902 2] 7022646
[1 6423505784789735895 6423505784789735895 2] 6495851
[1 6143266650014896614 6143266650014896614 2] 7108119
[1 1755710550109762647 1755710550109762647 1] 23593842
[1 1867263731343969693 1867263731343969693 1] 21183664
[1 6481617086072149703 6481617086072149703 1] 21791415
